,job_desc_list,job_qualification_list
22,['Deskripsi Pekerjaan:'],"['Berpengalaman melakukan livestream di Marketplace;', 'Terbiasa menggunakan Open Broadcaster Software (OBS);', 'Memiliki ide-ide kreatif;', 'Memiliki keterampilan berbicara di depan umum yang baik;', 'Energis, percaya diri, dan terbiasa berbicara di depan kamera;', 'Memiliki kemampuan dan pengetahuan tentang kosmetik;', 'Mampu bekerja shift dan bekerja di akhir pekan/hari libur nasional (bergulir).']"
71,['Where you will tackle some challenges, such as :'],"['Diploma or Bachelors degree in Food Technology or Culinary Arts', '1-2 years of experience in similar position, but freshgraduates are welcomed to apply', 'Willing to work from the office in Tanjung Duren, Jakarta Barat']"
88,['Responsibilities:'],['Requirements:']
99,[],"['Menguasai Las CO/Argon', 'Bisa membaca gambar/sketsa kerja', 'Bisa setting konstruksi', 'Pernah bekerja di bagian konstruksi/hidrolik minimal 1 tahun', 'Minimal pendidikan SMA/K', 'Penempatan Cikupa, Tangerang']"
102,['Tugas dan Tanggung Jawab:'],['Kualifikasi:']
141,['In this internship, you will support the Barber Daily - Makarizo team and fully involved in handling social media, E-Commerce, and offline POSM design.'],"[""Join our team if you're:"", 'Placement: Tb. Simatupang, Jakarta Selatan (Full WFO)']"
150,['Job Description :'],"['Bachelor’s degree in Supply Chain Management, Mathematics & Statistics, Business Administration, or a related field.', '1-3 years of experience in supply chain management, logistics, or procurement.', 'Strong knowledge of supply chain processes, including procurement, inventory management, and logistics.', 'Proficiency in supply chain management software (e.g., SAP, Oracle, or similar platforms).', 'Excellent analytical and problem-solving skills.', 'Strong negotiation and communication skills.', 'Ability to work collaboratively with cross-functional teams.', 'Capable of data processing, Pivot, Marcos, VBA.', 'Comfortable in communicating in English.']"
164,['\xa0'],"['Design, Develop, Analyze, troubleshooting related Web Development.', 'Involved in all aspects of the development lifecycle, including development, Testing, UAT, deployment, warranty, and post-warranty bug fixes.', 'Conduct analysis and problem solving of application accuracy, application dependency, reporting and technical function.']"
173,['roles and responsibilities include:\xa0'],[""A bachelor's degree in computer science, engineering, or a related field"", 'Min 2 years of experience in software development, systems engineering, or a similar role', 'Strong knowledge of various technologies, platforms, and architectural patterns', 'Excellent problem-solving and analytical skills', 'Strong communication and interpersonal skills', 'Ability to work effectively with cross-functional teams', 'Familiarity with project management methodologies and tools']"
314,['-'],['-']"
477,"['Applying / learning to apply security controls of available security tools using current change management framework', 'Providing suggestion and review on reported / discovered security vulnerabilities on Patch Management process and common security best-practice on rules of Firewall', 'Providing suggestions according to current security best-practice on security controls applied on O/S of Windows / non-windows platform', 'Trend scouting on current security news / technology from Internet, discussion group or Regional, that could be useful to leverage current corporates security posture', 'Actively working with local IT team, vendor, and group to ensure security controls are working effective / enabled, as outlined in corporate’s policy']",['\xa0']"
744,[],[]
953,['Job Descriptions:\xa0'],['Qualifications:']"
998,[],[]
1038,"['[PROGRAM PEMAGANGAN NIAT BAIK PT SINAR SOSRO]', 'PT Sinar Sosro saat ini membuka kesempatan magang untuk lulusan SMK/SMA sederajat pada posisi ""Sales Motoris"" untuk penempatan di ', 'Benefit yang akan didapatkan teman-teman:']",[' :']"
1203,"['[PROGRAM PEMAGANGAN NIAT BAIK PT SINAR SOSRO]', 'PT Sinar Sosro saat ini membuka kesempatan magang untuk lulusan SMK/SMA sederajat pada posisi ""Sales Motoris"" untuk penempatan di ', 'Benefit yang akan didapatkan teman-teman:']",[' :']"
1342,"['Benefit:', 'Masih penasaran tentang Akademia by Ruangguru? Yuk simak video berikut https://tinyurl.com/kenalandenganakademia']",['Requirements']"
1602,['Responsibilities:'],"['SMK jurusan Teknik', '0-1 tahun pengalaman di bidang terkait sebagai General Affairs', 'Memiliki pengetahuan tentang izin bangunan, Microsoft Office (terutama Ms. PowerPoint & Excel), Electrical Installation dan Building Management']"
1754,[],[]
1884,['-'],['-']"
1967,"['[PROGRAM PEMAGANGAN NIAT BAIK PT SINAR SOSRO]', 'PT Sinar Sosro saat ini membuka kesempatan magang untuk lulusan SMK/SMA sederajat pada posisi ""Sales Motoris"" untuk penempatan di ', 'Benefit yang akan didapatkan teman-teman:']",[' :']"
1983,[],[]
2035,['Tanggung - jawab pekerjaan :'],['Keahlian yang dibutuhkan :']"
2059,[],[]
2060,[],[]
2422,['Tanggung Jawab Utama:'],"['Kualifikasi:', 'Lokasi: Kota Tangerang']"
2476,[],[]
2492,[],[]
2819,[],[]
2834,[],[]